Provider  	Language	AlertFile                     	  BLEU
azure     	es   	avalanche_warning_1.txt       	  0.62
azure     	es   	avalanche_watch_1.txt         	  2.25
azure     	es   	blowingdust_advisory_1.txt    	  1.41
azure     	es   	coldweather_advisory_1.txt    	  2.81
azure     	es   	densefog_advisory_1.txt       	  0.92
azure     	es   	extremecold_warning_1.txt     	  2.60
azure     	es   	extremecold_watch_1.txt       	  1.66
azure     	es   	fireweather_watch_1.txt       	  2.32
azure     	es   	fireweather_watch_2.txt       	  7.55
azure     	es   	flashflood_warning_1.txt      	 16.83
azure     	es   	flashflood_warning_2_long.txt 	  3.52
azure     	es   	flashflood_watch_1.txt        	  5.32
azure     	es   	flood_advisory_1.txt          	 12.18
azure     	es   	flood_advisory_2.txt          	  1.87
azure     	es   	frost_advisory_1.txt          	  4.74
azure     	es   	helene_advisory_num15.txt     	  0.91
azure     	es   	helene_discussion_num15.txt   	  1.46
azure     	es   	helene_update_1.txt           	  2.81
azure     	es   	highwind_warning_1.txt        	  5.65
azure     	es   	highwind_watch_1.txt          	 16.05
azure     	es   	redflag_warning_1.txt         	  1.52
azure     	es   	redflag_warning_2.txt         	 11.87
azure     	es   	redflag_warning_3.txt         	  5.90
azure     	es   	snowsquall_warning_1.txt      	  6.08
azure     	es   	tornado_warning_1.txt         	  8.34
azure     	es   	tornado_warning_2.txt         	  4.54
azure     	es   	tornado_warning_3.txt         	 18.23
azure     	es   	tornado_warning_4.txt         	  2.07
azure     	es   	tornado_warning_5.txt         	  4.93
azure     	es   	tornado_watch_1.txt           	  2.86
azure     	es   	tornado_watch_2.txt           	  1.66
azure     	es   	tornado_watch_3.txt           	  0.93
azure     	es   	tornado_watch_4.txt           	  1.71
azure     	es   	tstorm_warning_1.txt          	  9.19
azure     	es   	tstorm_warning_2.txt          	  2.90
azure     	es   	tstorm_warning_3.txt          	  8.33
azure     	es   	tstorm_warning_4.txt          	  2.25
azure     	es   	tstorm_warning_5.txt          	  9.36
azure     	es   	tstorm_watch_1.txt            	  0.07
azure     	es   	tstorm_watch_2.txt            	  0.74
azure     	es   	tsunami_advisory_1.txt        	  1.58
azure     	es   	tsunami_advisory_2.txt        	  3.35
azure     	es   	tsunami_info_statement_1.txt  	  0.96
azure     	es   	tsunami_info_statement_2.txt  	  2.30
azure     	es   	tsunami_test_template.txt     	  0.94
azure     	es   	tsunami_threat_message.txt    	  0.42
azure     	es   	tsunami_warning_1.txt         	  1.08
azure     	es   	tsunami_warning_cancel.txt    	  0.90
azure     	es   	wind_advisory_1.txt           	  7.20
azure     	es   	winterstorm_advisory_1.txt    	  8.29
azure     	es   	winterstorm_warning_1_long.txt	  4.92
azure     	es   	winterstorm_warning_2_short.txt	 11.75
azure     	es   	winterstorm_warning_3.txt     	  7.38
azure     	es   	winterstorm_watch_1.txt       	  0.09
azure     	es   	winterstorm_watch_2.txt       	  1.16
azure     	es   	winterstorm_watch_3.txt       	  2.75
azure     	vi   	avalanche_warning_1.txt       	  0.75
azure     	vi   	avalanche_watch_1.txt         	  3.16
azure     	vi   	blowingdust_advisory_1.txt    	  1.44
azure     	vi   	coldweather_advisory_1.txt    	  2.91
azure     	vi   	densefog_advisory_1.txt       	  0.98
azure     	vi   	extremecold_warning_1.txt     	  2.62
